order,canonical_id,title,file,selection,source
0,CORE_00,The Seeker,00_CORE_00_The_Seeker.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_00_The_Seeker.png
1,CORE_01,The Instructor,01_CORE_01_The_Instructor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_01_The_Instructor.png
2,CORE_02,The Hidden Gate,02_CORE_02_The_Hidden_Gate.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_02_The_Hidden_Gate.png
3,CORE_03,The Garden,03_CORE_03_The_Garden.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_03_The_Garden.png
4,CORE_04,The Steward,04_CORE_04_The_Steward.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_04_The_Steward.png
5,CORE_05,The Teacher,05_CORE_05_The_Teacher.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_05_The_Teacher.png
6,CORE_06,The Covenant,06_CORE_06_The_Covenant.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_06_The_Covenant.png
7,CORE_07,The Voyager,07_CORE_07_The_Voyager.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_07_The_Voyager.png
8,CORE_08,The Forbearance,08_CORE_08_The_Forbearance.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_08_The_Forbearance.png
9,CORE_09,The Retreat,09_CORE_09_The_Retreat.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_09_The_Retreat.png
10,CORE_10,The Wheel of Decree,10_CORE_10_The_Wheel_of_Decree.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_10_The_Wheel_of_Decree.png
11,CORE_11,The Equity,11_CORE_11_The_Equity.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_11_The_Equity.png
12,CORE_12,The Surrender,12_CORE_12_The_Surrender.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_00_XII\Card_12_The_Surrender.png
13,CORE_13,The Transformation,13_CORE_13_The_Transformation.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_13_The_Transformation_v1.png
14,CORE_14,The Moderation,14_CORE_14_The_Moderation.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_14_The_Moderation_v1.png
15,CORE_15,The Entanglement,15_CORE_15_The_Entanglement.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_15_The_Entanglement_v1.png
16,CORE_16,The Awakening,16_CORE_16_The_Awakening.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_16_The_Awakening_v1.png
17,CORE_17,The Guidance,17_CORE_17_The_Guidance.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_17_The_Guidance_v1.png
18,CORE_18,The Mystery,18_CORE_18_The_Mystery.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_18_The_Mystery_v1.png
19,CORE_19,The Radiance,19_CORE_19_The_Radiance.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_13_19\CORE_19_The_Radiance_v1.png
20,CORE_20,The Gathering,20_CORE_20_The_Gathering.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_19_25\Card_20_The_Gathering.png
21,CORE_21,The Completion,21_CORE_21_The_Completion.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_19_25\Card_21_The_Completion.png
22,QALAM_ACE,Ace of Qalam,22_QALAM_ACE_Ace_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_19_25\Card_22_Ace_of_Qalam.png
23,QALAM_02,Two of Qalam,23_QALAM_02_Two_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_19_25\Card_23_Two_of_Qalam.png
24,QALAM_03,Three of Qalam,24_QALAM_03_Three_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_19_25\Card_24_Three_of_Qalam.png
25,QALAM_04,Four of Qalam,25_QALAM_04_Four_of_Qalam.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\qalam_redo\QALAM_04_four_of_qalam_redo.png
26,QALAM_05,Five of Qalam,26_QALAM_05_Five_of_Qalam.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\qalam_redo\QALAM_05_five_of_qalam_redo.png
27,QALAM_06,Six of Qalam,27_QALAM_06_Six_of_Qalam.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\qalam_redo\QALAM_06_six_of_qalam_redo.png
28,QALAM_07,Seven of Qalam,28_QALAM_07_Seven_of_Qalam.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\qalam_redo\QALAM_07_seven_of_qalam_redo.png
29,QALAM_08,Eight of Qalam,29_QALAM_08_Eight_of_Qalam.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U013_eight_of_qalam.png
30,QALAM_09,Nine of Qalam,30_QALAM_09_Nine_of_Qalam.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U014_nine_of_qalam.png
31,QALAM_10,Ten of Qalam,31_QALAM_10_Ten_of_Qalam.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U016_ten_of_qalam.png
32,QALAM_SEEKER,Seeker of Qalam,32_QALAM_SEEKER_Seeker_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_31_37\CARD_33_Seeker_of_Qalam_v1.png
33,QALAM_SCHOLAR,Scholar of Qalam,33_QALAM_SCHOLAR_Scholar_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_31_37\CARD_34_Scholar_of_Qalam_v1.png
34,QALAM_GUARDIAN,Guardian of Qalam,34_QALAM_GUARDIAN_Guardian_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_31_37\CARD_35_Guardian_of_Qalam_v1.png
35,QALAM_SAGE,Sage of Qalam,35_QALAM_SAGE_Sage_of_Qalam.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_31_37\CARD_36_Sage_of_Qalam_v1.png
36,NOOR_ACE,Ace of Noor,36_NOOR_ACE_Ace_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Cards_31_37\CARD_37_Ace_of_Noor_v1.png
37,NOOR_02,Two of Noor,37_NOOR_02_Two_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_37_43\card_38_two_of_noor.png
38,NOOR_03,Three of Noor,38_NOOR_03_Three_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_37_43\card_39_three_of_noor.png
39,NOOR_04,Four of Noor,39_NOOR_04_Four_of_Noor.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U067_four_of_noor.png
40,NOOR_05,Five of Noor,40_NOOR_05_Five_of_Noor.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\noor_redo\NOOR_05_Five_of_Noor_redo.png
41,NOOR_06,Six of Noor,41_NOOR_06_Six_of_Noor.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U069_six_of_noor.png
42,NOOR_07,Seven of Noor,42_NOOR_07_Seven_of_Noor.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\noor_redo\NOOR_07_Seven_of_Noor_redo.png
43,NOOR_08,Eight of Noor,43_NOOR_08_Eight_of_Noor.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\noor_redo\NOOR_08_Eight_of_Noor_redo.png
44,NOOR_09,Nine of Noor,44_NOOR_09_Nine_of_Noor.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U057_nine_of_noor.png
45,NOOR_10,Ten of Noor,45_NOOR_10_Ten_of_Noor.png,regenerated,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\U058_ten_of_noor.png
46,NOOR_SEEKER,Seeker of Noor,46_NOOR_SEEKER_Seeker_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_43_49\Card_46_Seeker_of_Noor.png
47,NOOR_SCHOLAR,Scholar of Noor,47_NOOR_SCHOLAR_Scholar_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_43_49\Card_47_Scholar_of_Noor.png
48,NOOR_GUARDIAN,Guardian of Noor,48_NOOR_GUARDIAN_Guardian_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_43_49\Card_48_Guardian_of_Noor.png
49,NOOR_SAGE,Sage of Noor,49_NOOR_SAGE_Sage_of_Noor.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\Islamic_Contemplative_Deck_Cards_43_49\Card_49_Sage_of_Noor.png
50,MIZAN_ACE,Ace of Mizan,50_MIZAN_ACE_Ace_of_Mizan.png,selected original,C:\Users\User\Desktop\AI 2\Sufi Tarot\tarot_cards_49_to_55 (1)\card_50_ace_of_mizan.png
51,MIZAN_02,Two of Mizan,51_MIZAN_02_Two_of_Mizan.png,second-pass regenerated A-D,C:\Users\User\Desktop\AI 2\Sufi Tarot\regenerated_candidates\mizan_redo\MIZAN_02_Two_of_Mizan_v2.png
